u_tau,U_inf,nu,M,delta,delta_star,theta
0.03526839246667137,1.0,4.144833995377996e-06,0.821614388816281,1.0,0.09952755905511813,0.07874015748031497
0.034670457303331834,1.0,3.187208797879374e-06,0.8257509082624453,1.0,0.09698841698841698,0.07722007722007722
0.03376439207212074,1.0,2.2813778427108607e-06,0.8302632758759014,1.0,0.09426574324324326,0.07547297297297298
0.033013106203162654,1.0,1.6750269523143058e-06,0.8336902813235847,1.0,0.09205652240093358,0.07417930894515196
0.03237608055168841,1.0,1.2865008563811655e-06,0.8344055321930514,1.0,0.09152328538504331,0.07410792338869904
0.0316575914904394,1.0,9.641123002326532e-07,0.8376965377157459,1.0,0.08956203557071508,0.0727555122426605
0.030540878966496654,1.0,5.618469952260321e-07,0.8434161257747882,1.0,0.08610066595533317,0.07045881011074727
0.029890004782400764,1.0,3.911997065989682e-07,0.8458449870599634,1.0,0.08461995131272414,0.06958877575059551
0.029200490568241543,1.0,2.8597091928549157e-07,0.8469229732233271,1.0,0.08390381941043973,0.06917050239937322
0.028697698444584748,1.0,2.252920273558231e-07,0.8494649476457476,1.0,0.08246360496153242,0.06809546239598052
0.028161081385525207,1.0,1.7037377570043684e-07,0.8495484388871767,1.0,0.08227270857281142,0.06821949301228145
0.02776929271611452,1.0,1.2844855319910505e-07,0.8509902117970551,1.0,0.08135928118784402,0.0676303251769277
0.027353045761645562,1.0,9.65753831220053e-08,0.8547584125496404,1.0,0.07916710447339619,0.06602761006955478
0.026385224274406333,1.0,4.9890754215494335e-08,0.8666658365890455,1.0,0.07253961539916046,0.06080437166735998
0.052268450763119374,1.0,0.00028877597106695787,0.7618550689120368,1.0,0.14391160220994473,0.08839779005524862
0.0485319097306479,1.0,0.00013443742307658698,0.7685200750525744,1.0,0.13835457063711912,0.09418282548476455
0.04587997797761057,1.0,8.341814177747376e-05,0.7689354685640193,1.0,0.13645090909090907,0.09636363636363635
0.04268032437046521,1.0,4.2723047417883094e-05,0.7796115789003448,1.0,0.12725825825825823,0.09309309309309308
0.052952078369075985,1.0,0.00030966127701214025,0.764973557649405,1.0,0.14491228070175438,0.08771929824561404
0.04663309084126096,1.0,9.326618168252192e-05,0.7712464885391083,1.0,0.134514,0.094
0.042428613857185285,1.0,4.2343926005174935e-05,0.7742605092530571,1.0,0.13017465069860282,0.09481037924151697
0.04006249749609391,1.0,2.000124687773036e-05,0.8052375144032605,1.0,0.11096555167249125,0.0838741887169246
0.036603221083455345,1.0,1.4253590764585414e-05,0.7288832394825538,1.0,0.15560747663551402,0.11526479750778816
0.03492107836289985,1.0,8.922094625166032e-06,0.7370231479553166,1.0,0.15008124680633622,0.11292795094532447
0.03329116452493508,1.0,5.063294984781001e-06,0.7466468212997118,1.0,0.14354205323193917,0.10965779467680609
0.03308738378056447,1.0,4.175064199440312e-06,0.7526941179936618,1.0,0.1395495268138801,0.10776025236593059
0.032039985902406205,1.0,2.9810184129518243e-06,0.7586924134227482,1.0,0.13597059918124302,0.10532192035727578
0.03196113525952442,1.0,2.9681589208325054e-06,0.7538598914533673,1.0,0.1384169762258544,0.10763372956909362
0.03617814116710684,1.0,1.3797918065258139e-05,0.7281178382932446,1.0,0.15526163234172388,0.11517925247902364
0.034352456200618345,1.0,7.411533160866957e-06,0.7420704409446592,1.0,0.14639482200647247,0.11132686084142394
0.03273322422258593,1.0,3.962380368307218e-06,0.758266501321092,1.0,0.13621801234717346,0.10567727877980874
0.03131752842065704,1.0,2.127983177322623e-06,0.7763107615320611,1.0,0.12579696949106478,0.0996806414350751
0.030035441821349197,1.0,1.198445527944665e-06,0.7865192704330313,1.0,0.11856998643364457,0.09508419120580959
0.028946911364557404,1.0,7.227151864918334e-07,0.7885255906373176,1.0,0.11695982822759841,0.09447482086235737
0.02780558336113892,1.0,3.8338779694370185e-07,0.8040064369531265,1.0,0.10954099219590216,0.08905771723244078
0.044644850216527525,1.0,7.515968049920458e-05,0.7352087375567602,1.0,0.15680976430976432,0.10942760942760943
0.04096513866699439,1.0,3.77907183274856e-05,0.7356850337930779,1.0,0.1533210332103321,0.11070110701107011
0.038364152535870485,1.0,2.256714855051205e-05,0.72686552706867,1.0,0.1580635294117647,0.11588235294117646
0.03572959839931399,1.0,8.21747893268491e-06,0.7524917272019458,1.0,0.14050735970561176,0.10717571297148114
